"filename", "language", "JSON", "JavaScript", "Go", "Markdown", "TypeScript", "CSS", "HTML", "SQL", "PHP", "Log", "comment", "blank", "total"
"c:\在修改的内容\jbbot\zmng\.git-robot\git-robot.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\在修改的内容\jbbot\zmng\agt.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 90
"c:\在修改的内容\jbbot\zmng\cfg.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\在修改的内容\jbbot\zmng\ctrl.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\在修改的内容\jbbot\zmng\db\coll_user.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\在修改的内容\jbbot\zmng\db\db400.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\在修改的内容\jbbot\zmng\db\opLogColl.json", "JSON", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140
"c:\在修改的内容\jbbot\zmng\db\scoreLogColl.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56
"c:\在修改的内容\jbbot\zmng\db\userColl.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\在修改的内容\jbbot\zmng\doc\playstatRet.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\在修改的内容\jbbot\zmng\doc\publish npm pkg.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 17, 35
"c:\在修改的内容\jbbot\zmng\doc\starter.go", "Go", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 4, 18
"c:\在修改的内容\jbbot\zmng\dsktp.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 28, 27, 125
"c:\在修改的内容\jbbot\zmng\dsl.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 2, 27, 55
"c:\在修改的内容\jbbot\zmng\dslAsm.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 47, 92
"c:\在修改的内容\jbbot\zmng\dslV3.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 2, 64, 111
"c:\在修改的内容\jbbot\zmng\index.html", "HTML", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 2, 30, 91
"c:\在修改的内容\jbbot\zmng\index.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 35, 61, 171
"c:\在修改的内容\jbbot\zmng\ini\bp.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 9, 13
"c:\在修改的内容\jbbot\zmng\libBiz\api——dep.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 23, 45, 155
"c:\在修改的内容\jbbot\zmng\libBiz\exec.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 7
"c:\在修改的内容\jbbot\zmng\libBiz\jsphpT.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\在修改的内容\jbbot\zmng\libBiz\t.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\在修改的内容\jbbot\zmng\libx\aes.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 94
"c:\在修改的内容\jbbot\zmng\libx\agt.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 90
"c:\在修改的内容\jbbot\zmng\libx\autoldTst.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12
"c:\在修改的内容\jbbot\zmng\libx\autoload.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 46
"c:\在修改的内容\jbbot\zmng\libx\callFun.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 79, 30, 155
"c:\在修改的内容\jbbot\zmng\libx\dsl.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 30
"c:\在修改的内容\jbbot\zmng\libx\enc.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 37
"c:\在修改的内容\jbbot\zmng\libx\file.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13
"c:\在修改的内容\jbbot\zmng\libx\http.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36, 115
