Date : 2023-09-04 17:21:48
Directory : c:\在修改的内容\jbbot\zmng
Total : 80 files,  3181 codes, 779 comments, 1620 blanks, all 5580 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         47 |      2,327 |        649 |      1,294 |      4,270 |
| JSON       |         16 |        348 |          0 |          2 |        350 |
| HTML       |          4 |        339 |        122 |        138 |        599 |
| SQL        |          3 |        114 |          6 |        138 |        258 |
| Markdown   |          2 |         22 |          0 |         26 |         48 |
| Go         |          2 |         17 |          2 |         10 |         29 |
| CSS        |          1 |          7 |          0 |          2 |          9 |
| PHP        |          2 |          4 |          0 |          7 |         11 |
| TypeScript |          2 |          2 |          0 |          2 |          4 |
| Log        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------+------------+------------+------------+------------+------------+
| path                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------+------------+------------+------------+------------+------------+
| .                                               |         80 |      3,181 |        779 |      1,620 |      5,580 |
| . (Files)                                       |         13 |        815 |        247 |        508 |      1,570 |
| .git-robot                                      |          1 |          1 |          0 |          1 |          2 |
| db                                              |          5 |        223 |          0 |          0 |        223 |
| doc                                             |          3 |         31 |          2 |         21 |         54 |
| ini                                             |          1 |          4 |          0 |          9 |         13 |
| libBiz                                          |          4 |         91 |         24 |         53 |        168 |
| libx                                            |         15 |        456 |        159 |        208 |        823 |
| lowdbx                                          |          4 |         87 |         51 |         72 |        210 |
| node_modu                                       |         17 |      1,278 |        261 |        601 |      2,140 |
| res                                             |         10 |         84 |          1 |         24 |        109 |
| test                                            |          7 |        111 |         34 |        123 |        268 |
+-------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                        | language   | code       | comment    | blank      | total      |
+-------------------------------------------------+------------+------------+------------+------------+------------+
| c:\在修改的内容\jbbot\zmng\.git-robot\git-robot.log   | Log        |          1 |          0 |          1 |          2 |
| c:\在修改的内容\jbbot\zmng\agt.js                     | JavaScript |         62 |          5 |         23 |         90 |
| c:\在修改的内容\jbbot\zmng\cfg.js                     | JavaScript |          1 |          0 |          0 |          1 |
| c:\在修改的内容\jbbot\zmng\ctrl.js                    | JavaScript |         12 |          1 |          5 |         18 |
| c:\在修改的内容\jbbot\zmng\db\coll_user.json          | JSON       |          6 |          0 |          0 |          6 |
| c:\在修改的内容\jbbot\zmng\db\db400.json              | JSON       |          7 |          0 |          0 |          7 |
| c:\在修改的内容\jbbot\zmng\db\opLogColl.json          | JSON       |        140 |          0 |          0 |        140 |
| c:\在修改的内容\jbbot\zmng\db\scoreLogColl.json       | JSON       |         56 |          0 |          0 |         56 |
| c:\在修改的内容\jbbot\zmng\db\userColl.json           | JSON       |         14 |          0 |          0 |         14 |
| c:\在修改的内容\jbbot\zmng\doc\playstatRet.json       | JSON       |          1 |          0 |          0 |          1 |
| c:\在修改的内容\jbbot\zmng\doc\publish npm pkg.md     | Markdown   |         18 |          0 |         17 |         35 |
| c:\在修改的内容\jbbot\zmng\doc\starter.go             | Go         |         12 |          2 |          4 |         18 |
| c:\在修改的内容\jbbot\zmng\dsktp.js                   | JavaScript |         70 |         28 |         27 |        125 |
| c:\在修改的内容\jbbot\zmng\dsl.sql                    | SQL        |         26 |          2 |         27 |         55 |
| c:\在修改的内容\jbbot\zmng\dslAsm.sql                 | SQL        |         43 |          2 |         47 |         92 |
| c:\在修改的内容\jbbot\zmng\dslV3.sql                  | SQL        |         45 |          2 |         64 |        111 |
| c:\在修改的内容\jbbot\zmng\index.html                 | HTML       |         59 |          2 |         30 |         91 |
| c:\在修改的内容\jbbot\zmng\index.js                   | JavaScript |         75 |         35 |         61 |        171 |
| c:\在修改的内容\jbbot\zmng\ini\bp.md                  | Markdown   |          4 |          0 |          9 |         13 |
| c:\在修改的内容\jbbot\zmng\libBiz\api——dep.js         | JavaScript |         87 |         23 |         45 |        155 |
| c:\在修改的内容\jbbot\zmng\libBiz\exec.php            | PHP        |          1 |          0 |          6 |          7 |
| c:\在修改的内容\jbbot\zmng\libBiz\jsphpT.js           | JavaScript |          2 |          1 |          2 |          5 |
